test_longs,Verilator_real,Verilator_user,Verilator_sys,Verilog_real,Verilog_user,Verilog_sys
10000000,3.361,1.599,0.066,45.105,17.992,1.728
10000000,3.033,1.601,0.024,46.599,18.661,1.802
10000000,2.957,1.549,0.041,48.176,18.616,1.644
10000000,3.063,1.633,0.013,42.061,16.417,1.241
10000000,3.089,1.661,0.0,41.888,16.239,1.395
10000000,3.046,1.63,0.012,48.527,16.81,1.352
10000000,3.029,1.578,0.046,54.532,17.207,1.487
10000000,2.823,1.515,0.055,46.49,16.583,1.251
10000000,3.034,1.596,0.034,57.783,17.71,1.38
10000000,2.887,1.507,0.076,68.955,17.843,1.635
