test_longs,Verilator_real,Verilator_user,Verilator_sys,Verilog_real,Verilog_user,Verilog_sys
1000000,0.252,0.141,0.014,4.447,1.768,0.143
1000000,0.274,0.158,0.0,4.483,1.799,0.144
1000000,0.24,0.142,0.013,4.385,1.68,0.15
1000000,0.246,0.137,0.011,4.382,1.657,0.181
1000000,0.251,0.152,0.0,4.385,1.881,0.111
1000000,0.239,0.155,0.0,4.472,1.903,0.113
1000000,0.28,0.158,0.0,4.213,1.593,0.297
1000000,0.269,0.143,0.011,4.395,1.731,0.238
1000000,0.256,0.142,0.01,4.351,1.839,0.099
1000000,0.229,0.152,0.0,4.783,2.041,0.154
