test_longs,Verilator_real,Verilator_user,Verilator_sys,Verilog_real,Verilog_user,Verilog_sys
100000000,31.996,17.799,0.356,557.088,205.307,20.228
100000000,31.361,17.552,0.379,561.9,201.211,20.728
100000000,31.541,17.367,0.326,565.633,202.348,21.418
100000000,30.57,17.631,0.392,587.949,173.288,15.772
100000000,30.93,17.371,0.437,596.413,171.875,16.622
100000000,31.02,17.383,0.305,596.516,178.694,16.215
100000000,30.784,17.289,0.412,572.029,205.008,20.875
100000000,31.068,17.462,0.383,582.321,209.537,21.024
100000000,31.157,17.334,0.448,582.74,210.649,21.071
100000000,31.321,17.733,0.353,619.544,208.572,21.675
